"041a";"0001";"65";"1";"Menu: IM";"on";"off"
"041a";"0001";"65";"4";"Menu: Internet";"on";"off"
"041a";"0001";"65";"5";"Enables Bluetooth Object Push transfers to phone or PDA";"on";"off" 
"041a";"0001";"67";"2";"Enables Flash On/Off in Camera Options ";"on";"off" 
"041a";"0001";"67";"3";"Enables Adjust Contrast in Camera Options";"on";"off" 
"041a";"0001";"68";"5";"Enables Brew Parameters in Hidden Menu ";"on";"off" 
"041a";"0001";"68";"6";"Menu: New Letter";"on";"off"
"041a";"0001";"69";"3";"Enables Custom Battery Save Menu in Settings>Initial Setup";"on";"off"
"041a";"0001";"6A";"0";"Allows Bluetooth or USB file transfer in MPT(Sometimes OBEX)";"on";"off" 
"041a";"0001";"6A";"2";"Enables DUN bluetooth profile";"on";"off" 
"041a";"0001";"6A";"3";"Enables the Menu: Security > Data Connection - 1XRTT Settings";"on";"off" 
"041a";"0001";"6B";"4";"Cursor Position in Main Menu";"center";"top-left"
"041a";"0001";"6C";"1";"URL line in browser";"on";"off"
"041a";"0001";"6C";"3";"Settings > Personalize > Home Screen > Home Keys (limited), Layout (blocked)";"lock";"unlock"
"041a";"0001";"6E";"4";"Menu: Video";"on";"off"
"041a";"0001";"71";"3";"Enables Cancel in Messaging>Options>Create Message>New Short Msg";"off;"on"
"041a";"0001";"72";"1";"Extended Java Menu (App Priority, App Blinking etc.)";"on";"off"
"041a";"0001";"72";"7";"Names for Messages (SMS/MMS or Text/Multimedia)";"stand";"altern"
"041a";"0001";"74";"4";"Provider (offset 4B all bits = 1)-1";"off";"on"
"041a";"0001";"74";"5";"Provider (offset 4B all bits = 1)-2";"off";"on"
"041a";"0001";"74";"6";"Provider (offset 4B all bits = 1)-3";"off";"on"
"041a";"0001";"74";"7";"Digital Indicator (1X or D)";"1x";"D"
"041a";"0001";"75";"4";"Apply As Ring Tone Menu Option";"on";"off"
"041a";"0001";"75";"5";"Enable Copy/Move To/From Transflash Options";"on";"off"
"041a";"0001";"79";"6";"Menu: SMS Subject";"on";"off"
"041a";"0001";"7A";"1";"Switches left and right soft key choices";"off;"on"
"041a";"0001";"7B";"2";"Moto ring control 1-7 Part 1 OFF";"off;"on" 
"041a";"0001";"7B";"3";"Vib+Ring option (use with Bit 4)";"off";"on"
"041a";"0001";"7B";"4";"Vib+Ring option (use with Bit 3)";"on";"off"
"041a";"0001";"7B";"7";"Moto ring control 1-7 Part 2 ON";"on;"off" 
"041a";"0001";"7D";"5";"Changes backlight times to 20-40-60 seconds";"on";"off"
"041a";"0001";"7E";"7";"Enables Messaging>Options>Send To PixPlace ";"on";"off" 
"041a";"0001";"87";"5";"Enables Messaging>Browser Alerts ";"on";"off" 
"041a";"0001";"8D";"3";"Enable Airplane Mode";"on";"off"
"041a";"0001";"8D";"6";"Adds "time and date" and "auto redial" menus to settings>initial setup.";"on";"off" 
"041a";"0001";"8D";"7";"Enables Personalize>Wallpaper>Layout ";"on";"off" 
"004A";"0001";"-1";"1";"Phone configuration";"byte map";"off"
"004A";"0001";"22";"1";"Powerup tone";"on";"off"
"2742";"0001";"-1";"1";"Phone configuration";"bit map";"off"
"2742";"0001";"00";"0";"Menu: Time & date autoupdate";"on";"off"
"2742";"0001";"00";"6";"Menu: Other Info";"on";"off"
"2742";"0001";"00";"7";"Menu: Software ver, DSP ver, Language pack";"on";"off"
"2742";"0001";"01";"0";"Menu: PRL ver";"on";"off"
"2742";"0001";"01";"1";"Menu: Built-In Modem";"on";"off"
"2742";"0001";"01";"2";"Menu: TrueSync ready";"on";"off"
"2742";"0001";"01";"3";"Menu: WAP Browser Ready";"on";"off"
"2742";"0001";"02";"1";"Menu: Call barring, Transfer Call, My Networks List etc.";"off";"on"
"2742";"0001";"02";"7";"Menu: Info Services";"on";"off"
"2742";"0001";"03";"1";"Menu: Quick Notes";"on";"off"
"2742";"0001";"03";"2";"Menu: Drafts";"on";"off"
"2742";"0001";"03";"3";"Menu: Inbox";"on";"off"
"2742";"0001";"03";"5";"Menu: Outbox";"on";"off"
"2742";"0001";"06";"1";"Alert: Siren";"on";"off"
"2742";"0001";"08";"2";"Menu: Voice Recorder";"on";"off"
"2742";"0001";"08";"5";"Menu: Costs";"on";"off"
"2742";"0001";"09";"1";"Menu: Call Security";"on";"off"
"2742";"0001";"0A";"7";"Dims Backlight instead of shutting off";"on";"off"
